fecha,id_tienda,id_producto,unidades_vendidas,ciudad,tamaño_m2,nombre,categoria,costo_unitario,precio_venta,costo_almacenamiento_semanal,margen_unitario,margen_pct,lag_1,lag_7,lag_14,lag_21,lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_28,rolling_std_7,rolling_std_14,mean_last_7,mean_prev_7,trend_7,day_of_week,is_weekend,week,target_week
2024-01-29,STORE_01,PROD_001,8,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,8.0,5.0,5.0,8.0,5.0,8.142857142857142,7.428571428571429,6.821428571428571,5.490251100164467,4.345011033256518,8.142857142857142,6.714285714285714,1.428571428571428,0,0,5,48.0
2024-01-30,STORE_01,PROD_001,5,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,8.0,5.0,2.0,4.0,4.0,8.571428571428571,7.642857142857143,6.928571428571429,5.318431562567509,4.289650207312817,8.571428571428571,6.714285714285714,1.8571428571428568,1,0,5,52.0
2024-01-31,STORE_01,PROD_001,8,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,5.0,9.0,7.0,3.0,3.0,8.571428571428571,7.857142857142857,6.964285714285714,5.318431562567509,4.054572781386521,8.571428571428571,7.142857142857143,1.428571428571428,2,0,5,46.0
2024-02-01,STORE_01,PROD_001,3,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,8.0,5.0,7.0,7.0,4.0,8.428571428571429,7.928571428571429,7.142857142857143,5.318431562567509,4.04711265955383,8.428571428571429,7.428571428571429,1.0,3,0,5,46.0
2024-02-02,STORE_01,PROD_001,8,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,3.0,20.0,5.0,5.0,10.0,8.142857142857142,7.642857142857143,7.107142857142857,5.5805785670356025,4.2536345157296465,8.142857142857142,7.142857142857143,0.9999999999999991,4,1,5,51.0
2024-02-03,STORE_01,PROD_001,10,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,8.0,5.0,10.0,12.0,8.0,6.428571428571429,7.857142857142857,7.035714285714286,2.0701966780270626,4.185269826006862,6.428571428571429,9.285714285714286,-2.8571428571428577,5,1,5,56.0
2024-02-04,STORE_01,PROD_001,12,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,10.0,8.0,11.0,6.0,8.0,7.142857142857143,7.857142857142857,7.107142857142857,2.340126166724879,4.185269826006862,7.142857142857143,8.571428571428571,-1.428571428571428,6,1,5,53.0
2024-02-05,STORE_01,PROD_001,2,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,12.0,8.0,5.0,5.0,8.0,7.714285714285714,7.928571428571429,7.25,2.984084768360628,4.25105029039043,7.714285714285714,8.142857142857142,-0.42857142857142794,0,0,6,60.0
2024-02-06,STORE_01,PROD_001,9,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,2.0,5.0,5.0,2.0,4.0,6.857142857142857,7.714285714285714,7.035714285714286,3.670993118515816,4.479501542128773,6.857142857142857,8.571428571428571,-1.7142857142857144,1,0,6,53.0
2024-02-07,STORE_01,PROD_001,2,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,9.0,8.0,9.0,7.0,3.0,7.428571428571429,8.0,7.214285714285714,3.644957377763735,4.420233199556503,7.428571428571429,8.571428571428571,-1.1428571428571423,2,0,6,54.0
2024-02-08,STORE_01,PROD_001,3,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,2.0,3.0,5.0,7.0,7.0,6.571428571428571,7.5,7.178571428571429,4.1576092031015,4.686313952515181,6.571428571428571,8.428571428571429,-1.8571428571428577,3,0,6,56.0
2024-02-09,STORE_01,PROD_001,13,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,3.0,8.0,20.0,5.0,5.0,6.571428571428571,7.357142857142857,7.035714285714286,4.1576092031015,4.797549740907697,6.571428571428571,8.142857142857142,-1.5714285714285712,4,1,6,53.0
2024-02-10,STORE_01,PROD_001,15,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,13.0,10.0,5.0,10.0,12.0,7.285714285714286,6.857142857142857,7.321428571428571,4.820590756130958,3.5918099756388693,7.285714285714286,6.428571428571429,0.8571428571428568,5,1,6,51.0
2024-02-11,STORE_01,PROD_001,9,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,15.0,12.0,8.0,11.0,6.0,8.0,7.571428571428571,7.428571428571429,5.597618541248888,4.14569815432976,8.0,7.142857142857143,0.8571428571428568,6,1,6,48.0
2024-02-12,STORE_01,PROD_001,9,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,9.0,2.0,8.0,5.0,5.0,7.571428571428571,7.642857142857143,7.535714285714286,5.349677337844556,4.16223207235923,7.571428571428571,7.714285714285714,-0.14285714285714324,0,0,7,40.0
2024-02-13,STORE_01,PROD_001,2,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,9.0,9.0,5.0,5.0,2.0,8.571428571428571,7.714285714285714,7.678571428571429,4.755948656056709,4.177385480243527,8.571428571428571,6.857142857142857,1.7142857142857144,1,0,7,46.0
2024-02-14,STORE_01,PROD_001,3,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,2.0,2.0,8.0,9.0,7.0,7.571428571428571,7.5,7.678571428571429,5.349677337844556,4.398426291999655,7.571428571428571,7.428571428571429,0.14285714285714235,2,0,7,48.0
2024-02-15,STORE_01,PROD_001,5,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,3.0,3.0,3.0,5.0,7.0,7.714285714285714,7.142857142857143,7.535714285714286,5.186980037050644,4.554915229425542,7.714285714285714,6.571428571428571,1.1428571428571432,3,0,7,50.0
2024-02-16,STORE_01,PROD_001,10,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,5.0,13.0,8.0,20.0,5.0,8.0,7.285714285714286,7.464285714285714,4.932882862316247,4.445024382187543,8.0,6.571428571428571,1.4285714285714288,4,1,7,50.0
2024-02-17,STORE_01,PROD_001,13,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,10.0,15.0,10.0,5.0,10.0,7.571428571428571,7.428571428571429,7.642857142857143,4.540820148282424,4.5015259927869185,7.571428571428571,7.285714285714286,0.2857142857142856,5,1,7,50.0
2024-02-18,STORE_01,PROD_001,6,Bogotá,28,Tinto,Bebidas,800,2500,10,1700,0.68,13.0,9.0,12.0,8.0,11.0,7.285714285714286,7.642857142857143,7.75,4.029651999626672,4.700362389583018,7.285714285714286,8.0,-0.7142857142857144,6,1,7,54.0
