id_tienda,id_producto,origin,pred_naive,pred_A_week,pred_B_week,pred_champion,actual_week
STORE_01,PROD_001,2024-02-18,48,53.119835,53.00016,53.00016,54
STORE_01,PROD_002,2024-02-18,64,68.83378,67.24077,67.24077,74
STORE_01,PROD_003,2024-02-18,54,52.541485,52.086777,52.086777,80
STORE_01,PROD_004,2024-02-18,43,48.06446,49.30112,49.30112,42
STORE_01,PROD_005,2024-02-18,67,80.25445,75.20779,75.20779,68
STORE_01,PROD_006,2024-02-18,86,83.21694,83.59055,83.59055,88
STORE_01,PROD_007,2024-02-18,85,91.764946,90.720535,90.720535,69
STORE_01,PROD_008,2024-02-18,80,83.36533,83.41964,83.41964,82
STORE_02,PROD_001,2024-02-18,80,70.34855,74.13293,74.13293,63
STORE_02,PROD_002,2024-02-18,110,100.98259,99.659874,99.659874,89
STORE_02,PROD_003,2024-02-18,111,93.6585,91.60801,91.60801,97
STORE_02,PROD_004,2024-02-18,81,72.305954,73.560265,73.560265,55
STORE_02,PROD_005,2024-02-18,157,146.19626,153.83391,153.83391,134
STORE_02,PROD_006,2024-02-18,108,121.469406,123.58704,123.58704,117
STORE_02,PROD_007,2024-02-18,123,130.6739,129.28874,129.28874,105
STORE_02,PROD_008,2024-02-18,99,133.73938,126.879265,126.879265,99
STORE_03,PROD_001,2024-02-18,78,80.72328,79.299675,79.299675,109
STORE_03,PROD_002,2024-02-18,82,83.557175,83.65783,83.65783,68
STORE_03,PROD_003,2024-02-18,100,90.283295,96.135574,96.135574,95
STORE_03,PROD_004,2024-02-18,58,56.60098,57.823135,57.823135,66
STORE_03,PROD_005,2024-02-18,134,153.224,154.47357,154.47357,144
STORE_03,PROD_006,2024-02-18,140,126.204475,126.37025,126.37025,149
STORE_03,PROD_007,2024-02-18,144,148.0263,151.74985,151.74985,173
STORE_03,PROD_008,2024-02-18,142,129.60231,135.95963,135.95963,128
STORE_04,PROD_001,2024-02-18,79,71.20866,74.3375,74.3375,60
STORE_04,PROD_002,2024-02-18,87,92.82069,91.21118,91.21118,58
STORE_04,PROD_003,2024-02-18,91,87.676025,86.417076,86.417076,105
STORE_04,PROD_004,2024-02-18,51,55.294163,55.719303,55.719303,48
STORE_04,PROD_005,2024-02-18,116,127.60201,126.37466,126.37466,103
STORE_04,PROD_006,2024-02-18,148,136.03284,140.35168,140.35168,142
STORE_04,PROD_007,2024-02-18,103,120.87138,120.35503,120.35503,106
STORE_04,PROD_008,2024-02-18,188,162.37933,161.25253,161.25253,167
STORE_05,PROD_001,2024-02-18,57,58.482517,60.372643,60.372643,54
STORE_05,PROD_002,2024-02-18,63,73.33535,72.10218,72.10218,60
STORE_05,PROD_003,2024-02-18,108,93.74037,95.623375,95.623375,116
STORE_05,PROD_004,2024-02-18,36,40.810177,42.81734,42.81734,42
STORE_05,PROD_005,2024-02-18,130,122.97966,132.25609,132.25609,121
STORE_05,PROD_006,2024-02-18,129,129.97139,126.55001,126.55001,111
STORE_05,PROD_007,2024-02-18,123,126.149734,124.37781,124.37781,127
STORE_05,PROD_008,2024-02-18,125,126.74037,124.9465,124.9465,155
STORE_06,PROD_001,2024-02-18,58,62.417706,62.705807,62.705807,59
STORE_06,PROD_002,2024-02-18,91,86.51237,88.74301,88.74301,83
STORE_06,PROD_003,2024-02-18,74,82.68267,81.12546,81.12546,75
STORE_06,PROD_004,2024-02-18,44,44.01698,46.477997,46.477997,55
