id_tienda,id_producto,pred_naive,pred_A_week,forecast_next_week,champion,pred_B_week,pred_blend_week,fecha
STORE_01,PROD_001,51,47.79138,46.89479,Strategy B — 7 daily direct,46.89479,47.343086,2024-03-31
STORE_01,PROD_002,69,58.657013,59.88781,Strategy B — 7 daily direct,59.88781,59.27241,2024-03-31
STORE_01,PROD_003,68,62.286835,66.89464,Strategy B — 7 daily direct,66.89464,64.59074,2024-03-31
STORE_01,PROD_004,46,49.84167,48.85216,Strategy B — 7 daily direct,48.85216,49.346916,2024-03-31
STORE_01,PROD_005,73,79.63684,77.003105,Strategy B — 7 daily direct,77.003105,78.31998,2024-03-31
STORE_01,PROD_006,80,82.902435,81.65804,Strategy B — 7 daily direct,81.65804,82.28024,2024-03-31
STORE_01,PROD_007,83,75.46002,72.786934,Strategy B — 7 daily direct,72.786934,74.123474,2024-03-31
STORE_01,PROD_008,70,68.32558,63.045967,Strategy B — 7 daily direct,63.045967,65.685776,2024-03-31
STORE_02,PROD_001,71,71.692375,70.18601,Strategy B — 7 daily direct,70.18601,70.93919,2024-03-31
STORE_02,PROD_002,85,88.8444,89.504135,Strategy B — 7 daily direct,89.504135,89.17427,2024-03-31
STORE_02,PROD_003,94,93.650215,89.24492,Strategy B — 7 daily direct,89.24492,91.44757,2024-03-31
STORE_02,PROD_004,75,74.289474,70.34482,Strategy B — 7 daily direct,70.34482,72.31715,2024-03-31
STORE_02,PROD_005,108,112.189674,110.06143,Strategy B — 7 daily direct,110.06143,111.12555,2024-03-31
STORE_02,PROD_006,72,95.063,90.24299,Strategy B — 7 daily direct,90.24299,92.653,2024-03-31
STORE_02,PROD_007,104,116.868,117.15301,Strategy B — 7 daily direct,117.15301,117.0105,2024-03-31
STORE_02,PROD_008,113,114.545074,117.70373,Strategy B — 7 daily direct,117.70373,116.124405,2024-03-31
STORE_03,PROD_001,96,91.49847,91.565155,Strategy B — 7 daily direct,91.565155,91.531815,2024-03-31
STORE_03,PROD_002,74,71.954575,68.845116,Strategy B — 7 daily direct,68.845116,70.39984,2024-03-31
STORE_03,PROD_003,98,96.61121,94.43505,Strategy B — 7 daily direct,94.43505,95.52313,2024-03-31
STORE_03,PROD_004,65,62.973236,62.74341,Strategy B — 7 daily direct,62.74341,62.858322,2024-03-31
STORE_03,PROD_005,152,156.53273,156.9946,Strategy B — 7 daily direct,156.9946,156.76367,2024-03-31
STORE_03,PROD_006,141,134.62102,134.64731,Strategy B — 7 daily direct,134.64731,134.63416,2024-03-31
STORE_03,PROD_007,180,155.90468,154.81421,Strategy B — 7 daily direct,154.81421,155.35944,2024-03-31
STORE_03,PROD_008,127,132.70566,130.87907,Strategy B — 7 daily direct,130.87907,131.79236,2024-03-31
STORE_04,PROD_001,71,72.48648,72.531296,Strategy B — 7 daily direct,72.531296,72.50889,2024-03-31
STORE_04,PROD_002,76,80.482574,80.11166,Strategy B — 7 daily direct,80.11166,80.29712,2024-03-31
STORE_04,PROD_003,58,85.618126,87.856804,Strategy B — 7 daily direct,87.856804,86.737465,2024-03-31
STORE_04,PROD_004,45,52.797653,49.131638,Strategy B — 7 daily direct,49.131638,50.964645,2024-03-31
STORE_04,PROD_005,147,132.2123,132.01543,Strategy B — 7 daily direct,132.01543,132.11386,2024-03-31
STORE_04,PROD_006,187,180.85156,187.09265,Strategy B — 7 daily direct,187.09265,183.9721,2024-03-31
STORE_04,PROD_007,78,96.19829,96.32702,Strategy B — 7 daily direct,96.32702,96.26265,2024-03-31
STORE_04,PROD_008,176,178.46428,180.74503,Strategy B — 7 daily direct,180.74503,179.60464,2024-03-31
STORE_05,PROD_001,56,57.165813,57.525013,Strategy B — 7 daily direct,57.525013,57.345413,2024-03-31
STORE_05,PROD_002,58,56.503345,55.987522,Strategy B — 7 daily direct,55.987522,56.245434,2024-03-31
STORE_05,PROD_003,112,121.93406,120.85585,Strategy B — 7 daily direct,120.85585,121.39496,2024-03-31
STORE_05,PROD_004,32,40.882378,41.995766,Strategy B — 7 daily direct,41.995766,41.43907,2024-03-31
STORE_05,PROD_005,137,131.39146,132.92212,Strategy B — 7 daily direct,132.92212,132.1568,2024-03-31
STORE_05,PROD_006,143,155.40955,157.78606,Strategy B — 7 daily direct,157.78606,156.59781,2024-03-31
STORE_05,PROD_007,114,126.15869,126.72135,Strategy B — 7 daily direct,126.72135,126.44002,2024-03-31
STORE_05,PROD_008,179,180.17085,173.40443,Strategy B — 7 daily direct,173.40443,176.78764,2024-03-31
STORE_06,PROD_001,48,54.011124,54.862705,Strategy B — 7 daily direct,54.862705,54.436913,2024-03-31
STORE_06,PROD_002,83,76.00687,78.05882,Strategy B — 7 daily direct,78.05882,77.032845,2024-03-31
STORE_06,PROD_003,61,66.66769,66.72757,Strategy B — 7 daily direct,66.72757,66.69763,2024-03-31
STORE_06,PROD_004,34,47.233696,48.087997,Strategy B — 7 daily direct,48.087997,47.660847,2024-03-31
STORE_06,PROD_005,96,94.94192,93.76153,Strategy B — 7 daily direct,93.76153,94.35172,2024-03-31
STORE_06,PROD_006,77,92.035126,94.68515,Strategy B — 7 daily direct,94.68515,93.36014,2024-03-31
STORE_06,PROD_007,199,193.53105,186.00317,Strategy B — 7 daily direct,186.00317,189.76712,2024-03-31
STORE_06,PROD_008,117,112.81752,114.17084,Strategy B — 7 daily direct,114.17084,113.49418,2024-03-31
STORE_07,PROD_001,22,26.833475,28.110458,Strategy B — 7 daily direct,28.110458,27.471966,2024-03-31
STORE_07,PROD_002,43,45.25435,46.731014,Strategy B — 7 daily direct,46.731014,45.992683,2024-03-31
STORE_07,PROD_003,44,47.069305,46.79595,Strategy B — 7 daily direct,46.79595,46.93263,2024-03-31
STORE_07,PROD_004,33,25.995073,27.246471,Strategy B — 7 daily direct,27.246471,26.620773,2024-03-31
STORE_07,PROD_005,28,36.626514,37.883446,Strategy B — 7 daily direct,37.883446,37.254982,2024-03-31
STORE_07,PROD_006,51,43.57647,48.87529,Strategy B — 7 daily direct,48.87529,46.22588,2024-03-31
STORE_07,PROD_007,43,51.010807,49.633965,Strategy B — 7 daily direct,49.633965,50.322388,2024-03-31
STORE_07,PROD_008,66,44.641563,52.775024,Strategy B — 7 daily direct,52.775024,48.708294,2024-03-31
STORE_08,PROD_001,89,82.4116,82.30369,Strategy B — 7 daily direct,82.30369,82.35764,2024-03-31
STORE_08,PROD_002,116,105.14316,106.117256,Strategy B — 7 daily direct,106.117256,105.6302,2024-03-31
STORE_08,PROD_003,123,119.84648,117.334785,Strategy B — 7 daily direct,117.334785,118.59064,2024-03-31
STORE_08,PROD_004,64,65.287605,65.28203,Strategy B — 7 daily direct,65.28203,65.28482,2024-03-31
STORE_08,PROD_005,212,199.72821,205.96371,Strategy B — 7 daily direct,205.96371,202.84596,2024-03-31
STORE_08,PROD_006,148,169.05482,162.73181,Strategy B — 7 daily direct,162.73181,165.89331,2024-03-31
STORE_08,PROD_007,277,243.76631,256.35797,Strategy B — 7 daily direct,256.35797,250.06213,2024-03-31
STORE_08,PROD_008,121,140.96048,138.86874,Strategy B — 7 daily direct,138.86874,139.91461,2024-03-31
STORE_09,PROD_001,51,46.252808,46.23693,Strategy B — 7 daily direct,46.23693,46.24487,2024-03-31
STORE_09,PROD_002,33,37.51904,39.575085,Strategy B — 7 daily direct,39.575085,38.547062,2024-03-31
STORE_09,PROD_003,42,45.231857,46.38054,Strategy B — 7 daily direct,46.38054,45.8062,2024-03-31
STORE_09,PROD_004,38,30.35088,32.71464,Strategy B — 7 daily direct,32.71464,31.53276,2024-03-31
STORE_09,PROD_005,71,78.89511,77.55198,Strategy B — 7 daily direct,77.55198,78.22354,2024-03-31
STORE_09,PROD_006,46,67.77224,67.254944,Strategy B — 7 daily direct,67.254944,67.513596,2024-03-31
STORE_09,PROD_007,90,86.3646,87.9386,Strategy B — 7 daily direct,87.9386,87.151596,2024-03-31
STORE_09,PROD_008,107,83.04107,91.20305,Strategy B — 7 daily direct,91.20305,87.122055,2024-03-31
STORE_10,PROD_001,41,40.611782,40.81216,Strategy B — 7 daily direct,40.81216,40.71197,2024-03-31
STORE_10,PROD_002,76,74.768326,74.249664,Strategy B — 7 daily direct,74.249664,74.508995,2024-03-31
STORE_10,PROD_003,77,72.015015,72.333046,Strategy B — 7 daily direct,72.333046,72.17403,2024-03-31
STORE_10,PROD_004,32,29.7832,31.328865,Strategy B — 7 daily direct,31.328865,30.556032,2024-03-31
STORE_10,PROD_005,97,106.93342,106.42627,Strategy B — 7 daily direct,106.42627,106.67984,2024-03-31
STORE_10,PROD_006,100,109.16032,107.66383,Strategy B — 7 daily direct,107.66383,108.41208,2024-03-31
STORE_10,PROD_007,117,116.455536,119.226395,Strategy B — 7 daily direct,119.226395,117.840965,2024-03-31
STORE_10,PROD_008,76,86.97368,82.68985,Strategy B — 7 daily direct,82.68985,84.831764,2024-03-31
STORE_11,PROD_001,65,52.35139,54.999336,Strategy B — 7 daily direct,54.999336,53.67536,2024-03-31
STORE_11,PROD_002,107,110.57113,109.81267,Strategy B — 7 daily direct,109.81267,110.191895,2024-03-31
STORE_11,PROD_003,83,72.15749,73.592865,Strategy B — 7 daily direct,73.592865,72.87518,2024-03-31
STORE_11,PROD_004,42,56.586258,55.608864,Strategy B — 7 daily direct,55.608864,56.09756,2024-03-31
STORE_11,PROD_005,178,175.91399,172.75455,Strategy B — 7 daily direct,172.75455,174.33426,2024-03-31
STORE_11,PROD_006,130,126.350784,131.3795,Strategy B — 7 daily direct,131.3795,128.86514,2024-03-31
STORE_11,PROD_007,82,92.47349,85.33357,Strategy B — 7 daily direct,85.33357,88.903534,2024-03-31
STORE_11,PROD_008,91,106.23216,101.75081,Strategy B — 7 daily direct,101.75081,103.991486,2024-03-31
STORE_12,PROD_001,75,79.43646,78.94984,Strategy B — 7 daily direct,78.94984,79.193146,2024-03-31
STORE_12,PROD_002,88,83.18089,85.33601,Strategy B — 7 daily direct,85.33601,84.25845,2024-03-31
STORE_12,PROD_003,128,120.51143,118.452805,Strategy B — 7 daily direct,118.452805,119.48212,2024-03-31
STORE_12,PROD_004,79,69.43347,68.10706,Strategy B — 7 daily direct,68.10706,68.77026,2024-03-31
