fecha,id_tienda,id_producto,nombre,stock_actual,pred_A_week,pred_B_week,pred_blend_week,order_A,order_B,order_blend,margen_unitario,costo_almacenamiento_semanal
2024-03-31,STORE_01,PROD_001,Tinto,1,46.89479,46.89479,47.343086,46,46,47,1700,10
2024-03-31,STORE_01,PROD_002,Café con Leche,10,59.88781,59.88781,59.27241,50,50,50,2300,15
2024-03-31,STORE_01,PROD_003,Cappuccino,33,66.89464,66.89464,64.59074,34,34,32,3000,15
2024-03-31,STORE_01,PROD_004,Pan de Bono,11,48.85216,48.85216,49.346916,38,38,39,1800,20
2024-03-31,STORE_01,PROD_005,Buñuelo,3,77.003105,77.003105,78.31998,75,75,76,1700,20
2024-03-31,STORE_01,PROD_006,Croissant,13,81.65804,81.65804,82.28024,69,69,70,2300,25
2024-03-31,STORE_01,PROD_007,Pastel de Pollo,8,72.786934,72.786934,74.123474,65,65,67,2000,30
2024-03-31,STORE_01,PROD_008,Jugo de Naranja,13,63.045967,63.045967,65.685776,51,51,53,3000,50
2024-03-31,STORE_02,PROD_001,Tinto,9,70.18601,70.18601,70.93919,62,62,62,1700,10
2024-03-31,STORE_02,PROD_002,Café con Leche,20,89.504135,89.504135,89.17427,70,70,70,2300,15
2024-03-31,STORE_02,PROD_003,Cappuccino,32,89.24492,89.24492,91.44757,58,58,60,3000,15
2024-03-31,STORE_02,PROD_004,Pan de Bono,43,70.34482,70.34482,72.31715,28,28,30,1800,20
2024-03-31,STORE_02,PROD_005,Buñuelo,27,110.06143,110.06143,111.12555,84,84,85,1700,20
2024-03-31,STORE_02,PROD_006,Croissant,8,90.24299,90.24299,92.653,83,83,85,2300,25
2024-03-31,STORE_02,PROD_007,Pastel de Pollo,11,117.15301,117.15301,117.0105,107,107,107,2000,30
2024-03-31,STORE_02,PROD_008,Jugo de Naranja,20,117.70373,117.70373,116.124405,98,98,97,3000,50
2024-03-31,STORE_03,PROD_001,Tinto,4,91.565155,91.565155,91.531815,88,88,88,1700,10
2024-03-31,STORE_03,PROD_002,Café con Leche,24,68.845116,68.845116,70.39984,45,45,47,2300,15
2024-03-31,STORE_03,PROD_003,Cappuccino,20,94.43505,94.43505,95.52313,75,75,76,3000,15
2024-03-31,STORE_03,PROD_004,Pan de Bono,21,62.74341,62.74341,62.858322,42,42,42,1800,20
2024-03-31,STORE_03,PROD_005,Buñuelo,8,156.9946,156.9946,156.76367,149,149,149,1700,20
2024-03-31,STORE_03,PROD_006,Croissant,18,134.64731,134.64731,134.63416,117,117,117,2300,25
2024-03-31,STORE_03,PROD_007,Pastel de Pollo,4,154.81421,154.81421,155.35944,151,151,152,2000,30
2024-03-31,STORE_03,PROD_008,Jugo de Naranja,4,130.87907,130.87907,131.79236,127,127,128,3000,50
2024-03-31,STORE_04,PROD_001,Tinto,29,72.531296,72.531296,72.50889,44,44,44,1700,10
2024-03-31,STORE_04,PROD_002,Café con Leche,9,80.11166,80.11166,80.29712,72,72,72,2300,15
2024-03-31,STORE_04,PROD_003,Cappuccino,15,87.856804,87.856804,86.737465,73,73,72,3000,15
2024-03-31,STORE_04,PROD_004,Pan de Bono,6,49.131638,49.131638,50.964645,44,44,45,1800,20
2024-03-31,STORE_04,PROD_005,Buñuelo,5,132.01543,132.01543,132.11386,128,128,128,1700,20
2024-03-31,STORE_04,PROD_006,Croissant,30,187.09265,187.09265,183.9721,158,158,154,2300,25
2024-03-31,STORE_04,PROD_007,Pastel de Pollo,31,96.32702,96.32702,96.26265,66,66,66,2000,30
2024-03-31,STORE_04,PROD_008,Jugo de Naranja,36,180.74503,180.74503,179.60464,145,145,144,3000,50
2024-03-31,STORE_05,PROD_001,Tinto,38,57.525013,57.525013,57.345413,20,20,20,1700,10
2024-03-31,STORE_05,PROD_002,Café con Leche,10,55.987522,55.987522,56.245434,46,46,47,2300,15
2024-03-31,STORE_05,PROD_003,Cappuccino,33,120.85585,120.85585,121.39496,88,88,89,3000,15
2024-03-31,STORE_05,PROD_004,Pan de Bono,8,41.995766,41.995766,41.43907,34,34,34,1800,20
2024-03-31,STORE_05,PROD_005,Buñuelo,1,132.92212,132.92212,132.1568,132,132,132,1700,20
2024-03-31,STORE_05,PROD_006,Croissant,23,157.78606,157.78606,156.59781,135,135,134,2300,25
2024-03-31,STORE_05,PROD_007,Pastel de Pollo,4,126.72135,126.72135,126.44002,123,123,123,2000,30
2024-03-31,STORE_05,PROD_008,Jugo de Naranja,12,173.40443,173.40443,176.78764,162,162,165,3000,50
2024-03-31,STORE_06,PROD_001,Tinto,3,54.862705,54.862705,54.436913,52,52,52,1700,10
2024-03-31,STORE_06,PROD_002,Café con Leche,9,78.05882,78.05882,77.032845,70,70,69,2300,15
2024-03-31,STORE_06,PROD_003,Cappuccino,43,66.72757,66.72757,66.69763,24,24,24,3000,15
2024-03-31,STORE_06,PROD_004,Pan de Bono,18,48.087997,48.087997,47.660847,31,31,30,1800,20
2024-03-31,STORE_06,PROD_005,Buñuelo,3,93.76153,93.76153,94.35172,91,91,92,1700,20
2024-03-31,STORE_06,PROD_006,Croissant,25,94.68515,94.68515,93.36014,70,70,69,2300,25
2024-03-31,STORE_06,PROD_007,Pastel de Pollo,37,186.00317,186.00317,189.76712,150,150,153,2000,30
2024-03-31,STORE_06,PROD_008,Jugo de Naranja,3,114.17084,114.17084,113.49418,112,112,111,3000,50
2024-03-31,STORE_07,PROD_001,Tinto,27,28.110458,28.110458,27.471966,2,2,1,1700,10
2024-03-31,STORE_07,PROD_002,Café con Leche,15,46.731014,46.731014,45.992683,32,32,31,2300,15
2024-03-31,STORE_07,PROD_003,Cappuccino,18,46.79595,46.79595,46.93263,29,29,29,3000,15
2024-03-31,STORE_07,PROD_004,Pan de Bono,55,27.246471,27.246471,26.620773,0,0,0,1800,20
2024-03-31,STORE_07,PROD_005,Buñuelo,0,37.883446,37.883446,37.254982,38,38,38,1700,20
2024-03-31,STORE_07,PROD_006,Croissant,20,48.87529,48.87529,46.22588,29,29,27,2300,25
2024-03-31,STORE_07,PROD_007,Pastel de Pollo,1,49.633965,49.633965,50.322388,49,49,50,2000,30
2024-03-31,STORE_07,PROD_008,Jugo de Naranja,31,52.775024,52.775024,48.708294,22,22,18,3000,50
2024-03-31,STORE_08,PROD_001,Tinto,45,82.30369,82.30369,82.35764,38,38,38,1700,10
2024-03-31,STORE_08,PROD_002,Café con Leche,1,106.117256,106.117256,105.6302,106,106,105,2300,15
2024-03-31,STORE_08,PROD_003,Cappuccino,0,117.334785,117.334785,118.59064,118,118,119,3000,15
2024-03-31,STORE_08,PROD_004,Pan de Bono,62,65.28203,65.28203,65.28482,4,4,4,1800,20
2024-03-31,STORE_08,PROD_005,Buñuelo,52,205.96371,205.96371,202.84596,154,154,151,1700,20
2024-03-31,STORE_08,PROD_006,Croissant,51,162.73181,162.73181,165.89331,112,112,115,2300,25
2024-03-31,STORE_08,PROD_007,Pastel de Pollo,56,256.35797,256.35797,250.06213,201,201,195,2000,30
2024-03-31,STORE_08,PROD_008,Jugo de Naranja,13,138.86874,138.86874,139.91461,126,126,127,3000,50
2024-03-31,STORE_09,PROD_001,Tinto,75,46.23693,46.23693,46.24487,0,0,0,1700,10
